date,anlage,kurs
2022-08-30,ETH,1523.8388671875
2022-08-31,ETH,1553.6849365234375
2022-09-01,ETH,1586.1767578125
2022-09-02,ETH,1577.220458984375
2022-09-03,ETH,1556.8726806640625
2022-09-04,ETH,1577.6416015625
2022-09-05,ETH,1617.1832275390625
2022-09-06,ETH,1561.74853515625
2022-09-07,ETH,1629.9063720703125
2022-09-08,ETH,1635.34765625
2022-09-09,ETH,1719.08544921875
2022-09-10,ETH,1776.2037353515625
2022-09-11,ETH,1761.800048828125
2022-09-12,ETH,1713.7652587890625
2022-09-13,ETH,1580.7879638671875
2022-09-14,ETH,1634.7550048828125
2022-09-15,ETH,1471.6934814453125
2022-09-16,ETH,1432.44775390625
2022-09-17,ETH,1469.74169921875
2022-09-18,ETH,1335.3291015625
2022-09-19,ETH,1377.5413818359375
2022-09-20,ETH,1324.38818359375
2022-09-21,ETH,1252.6077880859375
2022-09-22,ETH,1327.68017578125
2022-09-23,ETH,1328.259521484375
2022-09-24,ETH,1317.9932861328125
2022-09-25,ETH,1294.216796875
2022-09-26,ETH,1335.3201904296875
2022-09-27,ETH,1330.127685546875
2022-09-28,ETH,1337.410888671875
2022-09-29,ETH,1335.65234375
2022-09-30,ETH,1327.9786376953125
2022-10-01,ETH,1311.6444091796875
2022-10-02,ETH,1276.093505859375
2022-10-03,ETH,1323.439208984375
2022-10-04,ETH,1362.1265869140625
2022-10-05,ETH,1352.837158203125
2022-10-06,ETH,1351.70947265625
2022-10-07,ETH,1332.5169677734375
2022-10-08,ETH,1315.50048828125
2022-10-09,ETH,1322.604248046875
2022-10-10,ETH,1291.337646484375
2022-10-11,ETH,1279.57568359375
2022-10-12,ETH,1294.9063720703125
2022-10-13,ETH,1288.1239013671875
2022-10-14,ETH,1297.422119140625
2022-10-15,ETH,1274.8717041015625
2022-10-16,ETH,1306.296630859375
2022-10-17,ETH,1331.713623046875
2022-10-18,ETH,1310.447021484375
2022-10-19,ETH,1285.7442626953125
2022-10-20,ETH,1283.200927734375
2022-10-21,ETH,1299.9464111328125
2022-10-22,ETH,1314.2991943359375
2022-10-23,ETH,1363.447021484375
2022-10-24,ETH,1344.99853515625
2022-10-25,ETH,1461.6654052734375
2022-10-26,ETH,1566.566650390625
2022-10-27,ETH,1514.3748779296875
2022-10-28,ETH,1555.4779052734375
2022-10-29,ETH,1619.698486328125
2022-10-30,ETH,1590.7833251953125
2022-10-31,ETH,1572.7144775390625
2022-11-01,ETH,1579.70458984375
2022-11-02,ETH,1519.7117919921875
2022-11-03,ETH,1531.541748046875
2022-11-04,ETH,1645.0933837890625
2022-11-05,ETH,1627.968017578125
2022-11-06,ETH,1572.2347412109375
2022-11-07,ETH,1568.59130859375
2022-11-08,ETH,1332.8355712890625
2022-11-09,ETH,1100.1697998046875
2022-11-10,ETH,1299.464599609375
2022-11-11,ETH,1287.2210693359375
2022-11-12,ETH,1255.268310546875
2022-11-13,ETH,1221.8192138671875
2022-11-14,ETH,1241.604248046875
2022-11-15,ETH,1251.7362060546875
2022-11-16,ETH,1215.6025390625
2022-11-17,ETH,1200.80859375
2022-11-18,ETH,1212.30029296875
2022-11-19,ETH,1218.4267578125
2022-11-20,ETH,1142.4666748046875
2022-11-21,ETH,1108.35302734375
2022-11-22,ETH,1135.1734619140625
2022-11-23,ETH,1183.1995849609375
2022-11-24,ETH,1203.983154296875
2022-11-25,ETH,1198.9259033203125
